"manufacturer","model","price","enginesize","horsepower","wheelbase","power"
"Acura","Integra",21.5,1.8,140,101.2,58.28014952
"Acura","TL",28.4,3.2,225,108.1,91.37077766
"Acura","CL",NA,3.2,225,106.9,NA
"Acura","RL",42,3.5,210,114.6,91.38977933
"Audi","A4",23.99,1.8,150,102.6,62.7776392
"Audi","A6",33.95,2.8,200,108.7,84.56510502
"Audi","A8",62,4.2,310,113,134.6568582
"BMW","323i",26.99,2.5,170,107.3,71.19120671
"BMW","328i",33.4,2.8,193,107.3,81.87706856
"BMW","528i",38.9,2.8,193,111.4,83.9987238
"Buick","Century",21.975,3.1,175,109,71.18145132
"Buick","Regal",25.3,3.8,240,109,95.63670253
"Buick","Park Avenue",31.965,3.8,205,113.8,85.82840825
"Buick","LeSabre",27.885,3.8,205,112.2,84.25452581
"Cadillac","DeVille",39.895,4.6,275,115.3,113.8545976
"Cadillac","Seville",44.475,4.6,275,112.2,115.6213578
"Cadillac","Eldorado",39.665,4.6,275,108,113.7658739
"Cadillac","Catera",31.01,3,200,107.4,83.48309358
"Cadillac","Escalade",46.225,5.7,255,117.5,109.5091165
"Chevrolet","Cavalier",13.26,2.2,115,104.1,46.36334747
"Chevrolet","Malibu",16.535,3.1,170,107,67.31446216
"Chevrolet","Lumina",18.89,3.1,175,107.5,69.9913956
"Chevrolet","Monte Carlo",19.39,3.4,180,110.5,72.03091719
"Chevrolet","Camaro",24.34,3.8,200,101.1,81.11854333
"Chevrolet","Corvette",45.705,5.7,345,104.5,141.14115
"Chevrolet","Prizm",13.96,1.8,120,97.1,48.2976361
"Chevrolet","Metro",9.235,1,55,93.1,23.27627233
"Chevrolet","Impala",18.89,3.4,180,110.5,71.83803944
"Chrysler","Sebring Coupe",19.84,2.5,163,103.7,65.95718396
"Chrysler","Sebring Conv.",24.495,2.5,168,106,69.52135505
"Chrysler","Concorde",22.245,2.7,200,113,80.02378204
"Chrysler","Cirrus",16.48,2,132,108,53.56619987
"Chrysler","LHS",28.34,3.5,253,113,101.3292807
"Chrysler","300M",29.185,3.5,253,113,101.6552441
"Dodge","Neon",12.64,2,132,105,52.08489875
"Dodge","Avenger",19.045,2.5,163,103.7,65.65050834
"Dodge","Stratus",20.23,2.5,168,108,67.87610784
"Dodge","Intrepid",22.505,2.7,202,113,80.83147017
"Dodge","Viper",69.725,8,450,96.2,188.144323
"Dodge","Ram Pickup",19.46,5.2,230,138.7,90.21170005
"Dodge","Ram Wagon",21.315,3.9,175,109.6,71.13529161
"Dodge","Ram Van",18.575,3.9,175,127.2,70.07832154
"Dodge","Dakota",16.98,2.5,120,131,49.64500177
"Dodge","Durango",26.31,5.2,230,115.7,92.85412522
"Dodge","Caravan",19.565,2.4,150,113.3,61.22700031
"Ford","Escort",12.07,2,110,98.4,44.08370946
"Ford","Mustang",21.56,3.8,190,101.3,76.50918456
"Ford","Contour",17.035,2.5,170,106.5,67.35101072
"Ford","Taurus",17.885,3,155,108.5,62.5037395
"Ford","Focus",12.315,2,107,103,43.11713201
"Ford","Crown Victoria",22.195,4.6,200,114.7,80.49953671
"Ford","Explorer",31.93,4,210,111.6,87.63549578
"Ford","Windstar",21.41,3,150,120.7,62.09504839
"Ford","Expedition",36.135,4.6,240,119,100.0248023
"Ford","Ranger",12.05,2.5,119,117.5,47.38953131
"Ford","F-Series",26.935,4.6,220,138.5,89.40193473
"Honda","Civic",12.885,1.6,106,103.2,42.87909734
"Honda","Accord",15.35,2.3,135,106.9,54.26954829
"Honda","CR-V",20.55,2,146,103.2,60.08796662
"Honda","Passport",26.6,3.2,205,106.4,83.6025008
"Honda","Odyssey",26,3.5,210,118.1,85.21769134
"Hyundai","Accent",9.699,1.5,92,96.1,36.67228358
"Hyundai","Elantra",11.799,2,140,100.4,54.59004516
"Hyundai","Sonata",14.999,2.4,148,106.3,58.758249
"Infiniti","I30",29.465,3,227,108.3,92.43688923
"Jaguar","S-Type",42.8,3,240,114.5,102.1789848
"Jeep","Wrangler",14.46,2.5,120,93.4,48.67289791
"Jeep","Cherokee",21.62,4,190,101.4,76.58443962
"Jeep","Grand Cherokee",26.895,4,195,105.9,80.38777912
"Lexus","ES300",31.505,3,210,105.1,87.21100104
"Lexus","GS300",37.805,3,225,110.2,94.9466984
"Lexus","GS400",46.305,4,300,110.2,125.0133574
"Lexus","LS400",54.005,4,290,112.2,124.4467163
"Lexus","LX470",60.105,4.7,230,112.2,105.760458
"Lexus","RX300",34.605,3,220,103,91.94380156
"Lincoln","Continental",39.08,4.6,275,109,113.5402069
"Lincoln","Town car",43.33,4.6,215,117.7,93.9579169
"Lincoln","Navigator",42.66,5.4,300,119,123.9720467
"Mitsubishi","Mirage",13.987,1.8,113,98.4,45.83218056
"Mitsubishi","Eclipse",19.047,2.4,154,100.8,62.44196235
"Mitsubishi","Galant",17.357,2.4,145,103.7,58.60677292
"Mitsubishi","Diamante",24.997,3.5,210,107.1,84.83077858
"Mitsubishi","3000GT",25.45,3,161,97.2,67.54415494
"Mitsubishi","Montero",31.807,3.5,200,107.3,83.92081504
"Mitsubishi","Montero Sport",22.527,3,173,107.3,70.66094179
"Mercury","Mystique",16.24,2,125,106.5,50.99774761
"Mercury","Cougar",16.54,2,125,106.4,51.11347426
"Mercury","Sable",19.035,3,153,108.5,62.23996663
"Mercury","Grand Marquis",22.605,4.6,200,114.7,80.65769646
"Mercury","Mountaineer",27.56,4,210,111.6,85.94974425
"Mercury","Villager",22.51,3.3,170,112.2,69.671461
"Mercedes-B","C-Class",31.75,2.3,185,105.9,78.28073088
"Mercedes-B","E-Class",49.9,3.2,221,111.5,98.2497375
"Mercedes-B","S-Class",69.7,4.3,275,121.5,125.2738757
"Mercedes-B","SL-Class",82.6,5,302,99,139.9822936
"Mercedes-B","SLK",38.9,2.3,190,94.5,82.80736193
"Mercedes-B","SLK230",41,2.3,185,94.5,81.84896924
"Mercedes-B","CLK Coupe",41.6,3.2,215,105.9,92.92579177
"Mercedes-B","CL500",85.5,5,302,113.6,141.1009845
