"ID","Reached.on.Time_Y.N"
1017,1
8004,1
4775,0
10369,0
9725,0
10539,1
8462,1
4050,1
8789,0
1301,1
8522,0
1799,1
9941,0
8229,0
1129,1
8921,0
878,1
8677,0
7845,1
5922,0
6526,1
5071,0
2900,1
7075,0
10570,0
4650,0
9638,1
2159,1
3476,1
1948,1
2580,1
1530,1
7289,1
4633,0
6519,0
4344,0
1222,1
10618,0
10279,0
10675,1
2858,1
5400,1
9888,0
526,1
1069,1
5522,1
8214,0
5838,0
5862,0
6337,1
5491,0
9320,0
7494,0
9175,0
1791,1
9831,0
4939,1
465,1
7976,0
9392,0
3863,0
9326,1
8276,0
1895,1
3101,1
10492,0
3990,0
6877,0
10140,0
6764,1
1328,1
8749,1
8479,0
6473,1
6995,0
9714,0
858,1
6763,0
9182,0
316,1
733,1
6273,0
4907,0
5051,0
2330,1
9359,1
6429,0
3992,0
1706,1
501,1
6655,1
536,1
6881,0
7507,1
7514,0
3747,0
5163,0
29,1
1942,1
4934,1
1820,1
2281,1
9509,1
1966,1
8561,1
10691,0
4182,0
5603,1
5742,1
8547,0
5939,0
6956,1
9265,0
8553,1
9532,1
9458,1
6902,0
10033,0
2866,1
8943,0
219,1
8327,0
532,1
3123,1
9104,0
6611,1
2178,1
5936,1
7233,1
5932,0
4455,1
2153,1
1148,1
1101,1
1242,1
1218,1
4115,0
8465,1
418,1
6563,1
867,1
4499,0
3821,0
9803,0
5897,0
818,1
10844,0
4730,0
664,1
719,1
500,1
3045,1
6816,0
6373,1
8615,0
8159,0
8613,0
9181,0
3598,1
3700,0
5136,0
10511,1
9346,1
10817,0
8696,0
785,1
6789,1
7131,1
8053,0
1572,1
4401,1
1833,1
2461,1
10816,1
4225,1
309,1
7892,0
4078,1
7146,0
8633,0
3189,0
470,1
1360,1
1822,1
1790,1
8541,1
8066,1
3144,0
9086,1
4686,0
10148,0
8666,0
10843,1
5048,0
455,1
6500,0
7793,1
3306,0
6217,0
8207,1
4158,0
4486,1
9860,1
9251,1
5987,1
10985,1
5447,0
6809,0
8174,0
10789,0
4096,0
10204,1
6887,0
4084,0
2110,1
1172,1
797,1
10959,1
9788,0
4072,0
5057,0
7452,0
10271,1
5388,1
2762,1
8802,0
1265,1
7812,0
10893,0
2265,1
2156,1
6415,1
5390,0
10880,1
7151,1
5458,1
5729,0
1760,1
5704,0
5685,0
4664,1
4075,1
5474,0
7525,0
4212,0
10235,1
3070,1
5353,0
7439,0
9655,1
9413,0
462,1
10149,1
6443,1
10475,0
4049,0
6657,0
9690,1
10413,1
10742,0
7888,0
2033,1
731,1
7039,1
2813,1
3805,1
4771,0
966,1
10684,1
9383,0
6193,0
10209,0
5591,0
5793,0
8483,0
4749,0
8439,1
2482,1
6885,1
3388,0
3418,0
2722,1
2884,1
56,1
7193,0
934,1
7640,0
8109,0
4590,1
7883,0
3552,1
10344,1
5123,0
6803,0
4257,1
10624,1
127,1
717,1
10688,0
9644,0
7715,1
7447,1
676,1
10185,0
10965,0
5795,1
148,1
121,1
8361,1
8790,1
1491,1
2815,1
9772,1
1115,1
6308,1
3616,0
3551,1
10359,0
9975,0
6525,1
436,1
2137,1
8137,0
533,1
9573,0
2752,1
5592,1
9038,1
5191,0
6459,1
8411,1
9050,1
3565,1
570,1
6976,0
1926,1
5666,1
1813,1
7681,0
2833,1
7885,1
5694,0
7981,0
10740,0
10050,0
5161,0
7560,0
8473,0
4063,1
7918,0
10852,1
724,1
10245,0
1354,1
8684,1
6164,0
3255,0
10759,1
5199,1
10141,0
8706,1
6017,1
10309,0
9445,0
2016,1
10381,0
132,1
6186,0
5094,0
1659,1
10373,1
6068,0
6438,0
9613,1
2312,1
6321,1
5040,1
1839,1
3505,0
1838,1
9958,0
5259,1
9736,1
8512,0
4211,0
9666,1
6595,0
9434,0
6990,1
6303,0
2167,1
2543,1
10210,1
10014,0
5914,0
8301,0
3760,0
6663,0
2587,1
8945,1
10917,0
7935,1
393,1
8840,1
7046,0
7923,0
4208,0
5147,0
4318,0
6410,0
4254,0
10129,0
10720,0
2778,1
10635,0
7343,0
6103,1
7334,0
9331,1
4436,1
6236,1
5772,0
99,1
7684,1
7983,0
3200,0
3822,1
8090,1
6989,1
5763,1
7805,0
1190,1
1459,1
5117,0
1776,1
116,1
7360,0
10572,0
3157,1
1749,1
1326,1
1847,1
9424,0
1018,1
10846,1
383,1
8920,0
771,1
5207,1
484,1
4599,0
6449,0
3887,0
2563,1
9892,1
58,1
9701,0
4801,1
2021,1
10710,1
2170,1
1803,1
9606,0
1124,1
313,1
6790,0
10196,1
822,1
6625,0
5480,1
5131,0
3382,0
10561,0
81,1
3328,0
3126,1
2194,1
5235,1
5663,0
2796,1
6472,1
2775,1
7174,1
1401,1
8627,1
5605,0
7961,0
9978,1
3360,1
8426,0
1779,1
10370,1
7656,1
4278,1
8253,0
4606,0
1089,1
8841,0
1861,1
10879,0
10306,1
7374,1
7893,0
10518,0
2992,1
3797,0
6079,0
1177,1
8209,0
1057,1
3706,0
6440,0
7123,1
2257,1
1525,1
6420,0
5809,0
2079,1
10833,0
8987,0
7009,0
8765,0
3037,1
6485,1
3558,0
4568,0
7842,1
2351,1
7666,1
3651,0
6266,0
1871,1
9886,1
5034,1
5005,1
8060,0
363,1
8816,1
2573,1
9459,0
10602,1
3329,0
2373,1
702,1
1378,1
959,1
2273,1
10863,0
9681,0
8589,1
5031,1
10771,1
744,1
564,1
10776,0
9784,0
2290,1
3482,0
5327,1
5287,0
87,1
4313,0
5633,0
860,1
5620,1
7817,1
6134,0
2446,1
628,1
5368,0
1104,1
1493,1
4062,0
3926,0
9710,0
4784,0
2811,1
1473,1
2572,1
4364,0
10934,0
10329,1
8863,0
4933,0
2569,1
9410,0
4745,0
2551,1
128,1
7211,0
1435,1
102,1
7255,1
4066,0
3457,0
453,1
4585,0
6138,1
9321,1
8146,1
6050,1
815,1
8766,0
644,1
7238,0
8240,0
8151,0
3437,0
7120,0
9366,0
2608,1
9721,1
4358,1
1590,1
7368,0
3352,0
9027,1
9742,1
2899,1
10707,1
1821,1
10478,1
7917,1
8793,0
1759,1
8910,0
2107,1
1019,1
2020,1
8735,0
7757,1
10546,0
296,1
5144,1
5853,0
10122,0
764,1
5566,0
9926,1
9546,0
8314,0
3047,1
8690,0
1043,1
376,1
4562,1
6101,0
919,1
10865,0
1487,1
6109,0
5999,0
5661,0
9558,1
7025,1
854,1
8717,1
10006,0
10947,1
108,1
10337,1
10958,0
3862,1
3018,1
2285,1
10248,0
8588,1
144,1
10027,1
3733,1
5254,1
10713,0
8444,0
2069,1
4963,1
133,1
10772,0
9995,1
9833,0
386,1
1802,1
8482,0
8962,0
5756,1
7500,1
9094,1
2158,1
4297,1
487,1
7379,1
10647,0
3254,0
1421,1
908,1
3363,1
9992,0
247,1
8054,0
8649,1
9183,0
6320,0
8775,1
647,1
2732,1
492,1
3807,1
3586,0
1620,1
7348,1
3129,1
5435,1
553,1
9972,0
1864,1
1443,1
5238,0
7445,1
7200,1
9979,0
10229,0
1031,1
4330,0
2531,1
3417,0
10389,1
1587,1
10711,0
1651,1
3402,1
6818,0
5776,1
5195,0
7512,0
1630,1
7998,1
8864,0
5527,0
2136,1
10420,0
5148,0
8343,0
1524,1
8978,0
3946,0
827,1
4876,1
9610,1
2616,1
2684,1
8825,0
6167,1
8968,0
9822,1
7419,1
1131,1
4333,0
1890,1
9395,0
5334,0
4404,0
2997,1
7637,0
6398,1
10832,0
8378,0
4407,1
2019,1
2548,1
5750,0
1967,1
4279,0
10627,0
8539,0
4490,1
6557,0
8781,0
5305,0
6583,0
2161,1
5630,0
4210,0
8692,0
1216,1
2395,1
8423,1
9966,0
9984,1
9776,1
129,1
2424,1
3145,0
2792,1
314,1
4324,1
8881,1
8101,0
823,1
10058,1
10005,0
8164,1
407,1
5024,0
10715,0
280,1
3579,1
9402,1
517,1
3793,0
3590,1
8861,1
851,1
10905,1
3465,1
10295,0
6314,1
7652,0
793,1
703,1
324,1
8427,0
3641,1
9767,0
3390,1
2106,1
787,1
8068,1
9783,1
1373,1
1592,1
660,1
5006,0
1038,1
6574,0
10340,1
64,1
2131,1
9112,0
626,1
8498,0
6850,0
5607,0
5502,1
4848,0
2506,1
6293,1
8097,1
8567,0
5920,0
284,1
6940,0
1863,1
1950,1
8094,0
8608,0
8168,0
3210,0
4759,0
9505,1
4973,1
9547,1
9300,0
4023,0
10757,0
10926,1
7173,0
7555,1
10915,0
10435,0
4206,0
3729,0
6849,0
9390,1
4400,1
5512,0
7891,1
384,1
6776,0
5330,0
10873,1
5846,1
9764,0
5943,0
10157,1
8644,1
573,1
1611,1
5165,0
8345,1
1700,1
3781,0
479,1
1922,1
7914,0
8544,0
9684,0
8389,0
4083,0
3298,1
10895,0
5863,0
10068,1
4186,1
4064,0
5671,1
2664,1
8971,0
8827,1
10004,1
249,1
10714,1
7239,0
101,1
7965,0
3665,1
520,1
5670,0
8313,0
10264,0
3415,1
7435,0
650,1
617,1
4676,1
1846,1
4223,0
3680,0
7568,1
1428,1
7300,0
4105,0
4944,0
5361,1
9439,1
3338,0
5864,1
9101,1
10640,1
5337,1
4754,0
9792,0
8778,0
812,1
2480,1
5956,0
9754,1
9845,0
338,1
7809,0
5845,0
6512,0
8398,1
8634,0
4777,0
8147,1
2267,1
6919,1
8782,0
10548,0
7310,0
1372,1
9812,0
6063,0
6081,1
9009,0
2823,1
220,1
7095,0
6558,1
5413,0
6584,0
4572,0
2214,1
4637,0
9839,1
8744,1
3663,1
6581,1
8714,0
611,1
7671,0
217,1
10728,1
8654,1
4819,1
6239,0
7309,1
3631,1
6515,1
6531,0
7826,0
271,1
1299,1
10791,0
2871,1
6799,0
10281,0
7821,1
4171,1
7304,0
5957,1
4893,0
4733,1
27,1
8753,0
6448,0
4578,0
4385,0
10073,0
2937,1
4292,1
9939,0
3766,1
9209,1
7228,0
7261,1
10824,1
8443,1
5061,1
9080,0
3115,1
2223,1
5912,0
10330,1
1598,1
8405,1
5575,1
5934,0
8693,1
1088,1
4721,0
2761,1
9353,1
9051,0
3572,0
1071,1
6348,0
10800,1
503,1
2541,1
5466,1
2439,1
5857,0
2864,1
979,1
3152,1
10120,0
2284,1
610,1
10099,0
8682,0
7574,1
6226,0
2116,1
656,1
10997,0
4327,1
3702,1
6693,0
5135,0
5176,1
7486,0
1252,1
2826,1
10249,1
2391,1
2678,1
10241,1
413,1
8395,1
8671,1
6660,0
7785,0
9738,1
9229,1
7987,1
8331,1
1259,1
5189,1
7740,1
9628,1
4901,0
4103,1
10641,1
4895,0
7799,0
1654,1
427,1
9055,1
10192,0
8131,0
9908,0
582,1
8768,0
8045,0
1817,1
225,1
6247,0
5578,1
8377,0
2841,1
2426,1
4609,0
5770,1
8437,1
9249,0
3679,1
3842,0
2928,1
450,1
6008,0
665,1
1670,1
8806,0
1090,1
5281,1
5253,0
9441,0
3715,1
4836,0
6357,0
4589,1
4596,0
2403,1
8231,1
7008,1
1552,1
721,1
5761,1
10061,1
7545,1
9624,1
8578,0
5473,1
4896,0
6883,1
5767,1
9236,0
6417,0
10584,0
327,1
9503,0
6750,0
9029,0
1205,1
3237,1
1768,1
4038,0
6903,1
5049,0
2296,1
6834,1
10515,1
7658,0
3316,1
6160,1
838,1
7808,0
2490,1
4474,1
4703,0
5396,1
4649,0
4630,0
3977,1
556,1
4346,0
306,1
945,1
2772,1
4826,1
1279,1
8032,0
8941,0
4286,1
8416,1
9949,0
7040,0
10669,1
4904,0
8818,1
2765,1
2240,1
4588,1
534,1
2423,1
6265,1
10620,0
1526,1
2389,1
5749,0
401,1
6987,0
4780,0
3929,1
34,1
6387,1
3728,0
10564,1
6093,0
2751,1
9069,0
7986,0
347,1
3984,1
1302,1
8763,0
4866,0
9047,0
3580,1
5564,1
7895,1
5727,0
9993,0
5418,1
68,1
4618,0
10203,1
5184,1
8365,1
391,1
2350,1
505,1
4475,1
3983,1
10831,0
3553,0
935,1
1316,1
5240,1
7565,0
9811,1
3936,0
5157,0
2408,1
90,1
9706,0
2600,1
2499,1
1689,1
5101,1
1954,1
3387,1
4142,1
1511,1
773,1
3375,0
2145,1
40,1
41,1
5291,1
4239,0
113,1
3890,1
6744,0
2255,1
3158,0
6262,1
8325,0
7004,0
5735,0
1641,1
4527,1
8986,1
10575,1
7663,1
5394,0
5470,1
4612,1
10662,0
3159,1
6196,0
2705,1
6480,0
1830,1
9551,0
6963,0
1581,1
5958,1
5007,0
2904,1
4778,1
667,1
3435,0
4811,1
4611,1
8990,1
5260,1
1778,1
2889,1
5971,0
10560,1
8930,1
10265,0
7758,0
2002,1
4298,0
10028,0
8117,0
1792,1
7298,0
7598,0
6896,1
759,1
1560,1
6211,0
6251,0
1258,1
10753,0
4107,1
6238,0
5948,0
2617,1
3920,1
699,1
8532,0
9883,1
3792,1
3426,1
10935,1
7182,1
3814,1
6384,0
5650,0
2235,1
3993,1
1376,1
10770,0
3845,0
7871,1
3956,0
4953,0
1098,1
5794,0
10284,1
2934,1
2538,1
9869,1
9006,0
4724,0
1000,1
5728,0
6335,0
6035,1
10851,0
10819,0
7945,0
619,1
5192,0
1144,1
2182,1
1636,1
9435,0
2282,1
2185,1
7613,0
4258,0
3531,0
6461,0
6762,1
10613,1
6592,1
5307,1
10864,1
3561,1
2129,1
8501,0
1965,1
1742,1
310,1
5814,0
7662,1
616,1
9453,1
1092,1
9603,1
4086,1
6060,0
2211,1
4119,0
9826,1
8739,0
10351,0
756,1
7721,0
1818,1
1782,1
1198,1
7993,0
9355,1
6968,0
8096,0
5993,0
6264,1
8432,1
1619,1
7571,1
4773,0
6958,1
3309,0
10064,0
5468,0
1929,1
6128,0
649,1
2602,1
8598,0
965,1
5265,1
54,1
8969,0
4634,0
3257,0
9801,0
10545,0
5245,0
6586,0
2595,1
3266,1
9406,0
830,1
10270,0
569,1
441,1
1983,1
7,1
10294,0
229,1
5316,1
2930,1
10077,1
8243,0
10653,0
5581,0
2301,1
10960,0
1362,1
6284,0
9056,1
2409,1
4110,1
1951,1
2124,1
6430,1
672,1
2766,1
2379,1
1996,1
6488,1
8656,1
1961,1
1998,1
8075,0
9401,1
335,1
7263,1
5788,0
10358,1
10780,0
1106,1
4150,1
3818,0
5836,0
2744,1
3051,1
9217,0
44,1
7628,1
6623,0
6275,0
1786,1
1935,1
9657,0
2380,1
7436,1
6571,1
5257,1
6791,0
3804,0
8896,0
5797,0
3235,1
9414,0
5318,0
10107,0
7995,1
3327,0
5138,1
10168,1
8524,1
1936,1
1949,1
2840,1
9739,0
3879,0
10730,0
7936,1
5686,0
9202,0
9074,1
9045,0
2356,1
9865,1
8451,0
7523,0
406,1
5765,1
5186,1
4804,1
3324,1
697,1
3915,0
3447,1
2924,1
2076,1
2837,1
1154,1
1748,1
10109,0
692,1
4451,1
6970,1
10774,0
4894,0
1035,1
7218,0
3661,0
5093,0
4315,1
7680,0
3731,0
1457,1
5003,0
3058,1
8878,1
2044,1
2789,1
7621,0
3442,0
7421,0
10615,1
9601,0
7974,1
8413,1
3245,0
7471,1
5226,1
10162,0
498,1
8750,0
3143,1
1221,1
2962,1
9141,0
10177,0
10727,1
3100,1
3318,0
10911,1
8874,0
3229,1
5807,1
1806,1
7216,1
3039,1
4713,0
5268,1
5949,0
10595,1
2003,1
10136,1
4632,0
9442,0
4807,0
6537,1
1213,1
9478,1
3765,0
1855,1
8652,0
7109,0
6207,1
5562,1
10459,1
5843,1
9994,0
3625,1
10751,0
6616,0
1610,1
5889,1
463,1
8869,0
10946,1
7903,0
2788,1
9748,1
1603,1
8517,0
263,1
3768,1
1386,1
10862,1
10131,0
2382,1
4419,1
9998,1
9556,0
8133,0
3434,1
7696,1
10180,0
8659,0
36,1
990,1
10324,0
10198,0
6058,0
1984,1
8322,0
8752,0
5653,1
9455,0
1828,1
5841,0
8407,1
9271,0
6514,1
2645,1
2378,1
3212,0
10221,0
6313,0
5089,0
1718,1
8718,0
8275,1
10152,0
7303,0
5411,0
7400,1
1229,1
10051,0
6383,0
8892,0
761,1
4507,0
7837,1
3414,0
4736,1
2419,1
1186,1
5963,0
2206,1
7679,0
1692,1
168,1
5940,1
8425,0
9903,1
8014,0
10470,1
1732,1
615,1
5533,0
7114,0
1368,1
8704,0
8626,1
4418,0
2571,1
967,1
3381,1
6696,0
9234,0
881,1
8702,1
9864,0
5158,0
9379,1
7738,0
9636,0
7464,0
2336,1
10551,0
1781,1
8756,1
7503,1
4860,1
10184,0
259,1
9516,0
5438,0
5227,1
5941,0
2567,1
9531,1
4965,0
396,1
7375,0
8705,0
5239,1
1389,1
6344,1
6522,0
9216,0
9090,0
6432,1
3750,0
7739,0
9773,0
9364,1
6851,1
2410,1
6305,0
7410,1
7697,0
3873,1
6061,1
4888,1
1920,1
3698,1
10967,0
6589,0
6237,0
8333,0
10090,0
10637,0
7933,0
9305,1
6939,1
6003,0
5479,0
1600,1
2436,1
2437,1
3119,1
4742,0
2919,1
7451,1
2432,1
5677,0
10275,0
8119,1
1274,1
3840,1
4654,0
7033,1
10314,1
2109,1
7814,0
2258,1
4660,1
2486,1
2652,1
149,1
7117,1
7267,1
3204,0
10182,1
3970,0
7381,0
6311,0
1907,1
185,1
7332,0
10130,1
5651,0
8461,0
1937,1
1116,1
5014,0
10115,0
10969,0
1731,1
7101,0
9987,1
2686,1
8909,0
4689,0
7566,0
5406,0
1370,1
3852,0
977,1
7276,1
8139,1
4176,0
38,1
8412,1
7912,0
5621,0
7154,0
6298,0
6444,0
2921,1
4433,1
170,1
7116,1
6052,1
334,1
1656,1
1424,1
5617,0
6394,1
9519,1
7880,1
3031,1
2261,1
6684,1
10020,0
9083,1
3052,1
2429,1
3489,1
9493,0
2025,1
8905,0
10790,0
7462,1
10953,0
1677,1
4506,1
3290,0
5560,1
2008,1
9260,0
9898,0
9043,0
10214,0
1831,1
10260,0
6649,0
1568,1
7245,0
2148,1
9362,0
1697,1
4125,1
9440,0
2053,1
2238,1
3446,0
6889,1
9760,0
6112,1
9988,0
6487,0
9352,1
7425,0
9470,1
741,1
2985,1
6386,1
4471,0
746,1
7000,1
10303,1
2058,1
3431,1
10219,1
6878,1
8908,1
4178,1
3726,0
5350,1
9499,0
7015,0
7413,0
2370,1
5310,1
9986,1
9465,1
5196,1
7150,1
476,1
9740,0
1865,1
6983,0
2401,1
9734,1
8391,0
889,1
6257,1
10216,0
1693,1
4723,0
226,1
9360,0
3184,0
8015,1
10310,0
9166,0
97,1
4852,1
7894,1
448,1
4240,1
842,1
1579,1
1078,1
10023,1
4482,0
5632,1
8855,1
5100,0
9940,0
1065,1
7386,1
6969,0
9400,0
2784,1
8571,0
7647,0
2164,1
1297,1
7387,1
8093,1
7415,1
2530,1
9873,0
2674,1
3922,0
524,1
4758,1
7763,0
6156,0
3154,0
4037,1
7176,1
5030,1
1801,1
4166,0
3127,1
9641,0
10685,0
8355,1
7710,0
2445,1
5082,0
1026,1
3543,1
3165,1
1577,1
8506,0
3575,0
9538,0
8569,1
8480,1
1845,1
8590,0
46,1
5917,0
8219,0
726,1
2725,1
2892,1
8762,0
1023,1
9578,1
8352,1
3954,0
8924,0
5819,1
4477,0
8556,1
7230,0
7449,0
2844,1
283,1
457,1
1275,1
10250,1
333,1
8791,1
4692,0
7124,1
7752,0
6362,0
392,1
4288,0
8362,0
1726,1
1158,1
728,1
5830,1
1853,1
5045,0
7626,0
2102,1
2377,1
2638,1
3876,0
4007,0
10586,0
3203,1
2213,1
2797,1
3669,1
7539,0
1261,1
7776,1
1488,1
5931,0
6745,0
3439,1
2397,1
3034,1
8648,1
5764,0
251,1
6505,1
1022,1
7184,1
5893,0
10098,1
8860,0
5262,0
8048,0
6900,1
2637,1
5530,1
1495,1
5970,1
9253,0
9177,1
1130,1
7085,1
4045,1
4058,0
1349,1
10105,0
10630,0
3530,0
8433,1
6587,1
3384,0
871,1
1164,1
8568,0
4360,1
2673,1
7473,1
6681,1
1663,1
5540,0
10530,0
4615,1
4863,1
4917,1
7140,0
2323,1
6839,0
826,1
2359,1
4428,0
8255,0
4003,0
2504,1
4146,0
4487,0
2619,1
1974,1
8992,0
6307,1
8932,0
8518,1
5628,0
3752,0
925,1
8272,1
5321,0
7544,1
4625,0
8530,0
7534,1
2413,1
1133,1
4458,0
2967,1
8304,0
6208,1
5433,1
2644,1
4222,1
7306,0
214,1
5272,1
2568,1
9925,0
3193,0
9627,0
2842,1
1193,1
10045,0
1874,1
4485,0
3596,0
2781,1
4669,0
9272,0
9946,0
1567,1
3690,1
4550,0
8942,0
8966,0
10075,0
4290,0
3025,1
10101,1
8336,1
1678,1
1517,1
8829,1
7034,1
6733,1
5469,0
5656,1
10172,0
8938,1
5895,1
10632,0
3114,1
8586,1
352,1
5149,1
4092,0
1852,1
4717,0
8399,1
7219,0
875,1
9120,1
388,1
10734,0
9136,1
354,1
3545,0
1860,1
8035,0
3050,1
5599,1
5629,0
3865,1
8596,0
2289,1
4949,0
10726,1
4442,1
9092,0
8797,0
4748,0
6549,0
2914,1
301,1
2632,1
9600,0
1785,1
5567,0
3319,0
6679,1
9962,1
1483,1
478,1
10870,1
10878,0
134,1
5386,0
2329,1
2073,1
9877,0
5549,0
5619,0
3406,0
2698,1
9474,0
7963,0
424,1
2643,1
5724,0
3900,0
9770,0
6434,1
10272,1
1976,1
4789,0
9549,0
6366,1
10081,0
7012,0
5181,0
4089,1
5946,1
3274,0
3626,1
3829,0
6090,1
140,1
10998,0
5222,0
9882,0
1596,1
6829,1
8382,0
9163,0
3609,0
2836,1
10463,1
10425,1
7155,0
7620,0
4766,1
8533,1
7148,0
1312,1
814,1
6150,1
9676,1
91,1
4681,0
9781,1
7596,0
2364,1
6546,0
3286,0
1903,1
7677,1
9837,0
10532,0
6897,1
2961,1
4535,1
5604,1
10427,1
5397,0
5874,0
9160,1
10775,0
5923,0
5036,0
6403,0
4056,0
5497,0
3566,1
5208,0
2807,1
419,1
9108,1
4969,0
2525,1
1724,1
6654,0
7762,0
1347,1
6120,1
2888,1
2133,1
3615,0
8566,0
3785,0
4858,0
6737,0
10555,0
9842,0
10672,0
3083,1
6759,0
9589,0
6812,1
7756,0
1182,1
429,1
9588,1
8289,1
10859,0
7061,1
6041,1
8337,1
9932,1
1873,1
2295,1
10287,1
831,1
8710,0
5340,0
1146,1
2034,1
3299,1
3673,1
7127,0
9557,0
5393,1
2606,1
5453,0
5608,1
10821,0
9872,0
9184,1
6066,0
2536,1
10055,1
6493,0
8385,1
5070,1
2507,1
798,1
3694,0
7086,0
1649,1
2552,1
3714,0
3176,1
10244,1
10048,0
2603,1
1394,1
1335,1
10087,0
8309,0
9214,1
3941,0
7280,0
1701,1
3408,0
5213,0
395,1
1304,1
2229,1
7391,1
839,1
8156,1
8963,0
3637,1
2322,1
10533,0
7325,0
9496,0
1516,1
9513,0
10360,1
7829,1
7319,0
10390,0
4718,0
5363,1
6830,0
1851,1
7350,1
4312,1
8742,0
5696,1
474,1
2654,1
3578,0
10356,1
8308,0
7364,0
4519,1
1549,1
804,1
8884,1
7240,0
8251,1
6024,0
2532,1
5096,1
535,1
9554,0
4242,0
1001,1
9982,0
4897,0
4097,1
2400,1
6916,1
77,1
1248,1
6381,0
4410,0
8751,0
2710,1
7753,1
9639,0
4732,0
1197,1
83,1
1505,1
755,1
3357,0
10955,1
3291,1
4054,0
10100,0
2484,1
2449,1
2741,1
8487,1
613,1
8390,0
9210,0
2768,1
2216,1
5504,1
4213,0
4738,1
10698,0
5015,0
2010,1
2696,1
10046,1
6700,0
9294,0
7942,1
768,1
6439,1
5415,1
8988,0
9914,1
2283,1
806,1
10767,0
9938,1
4476,0
3971,0
5234,1
4411,1
242,1
8694,0
4834,0
6457,0
2244,1
3348,1
9951,0
6149,0
3072,1
4728,1
10544,0
7495,0
9373,0
4164,0
5623,0
6054,1
8218,0
8358,0
312,1
1789,1
1531,1
454,1
1399,1
7396,1
6230,0
4310,0
9541,0
8338,0
5011,1
3513,0
9708,1
7783,0
2980,1
4706,1
1046,1
9174,0
246,1
3736,0
1381,1
2713,1
4316,1
2123,1
10829,1
4677,0
6423,1
5563,0
1236,1
2902,1
1783,1
2522,1
1899,1
8907,0
10885,0
9540,0
1052,1
7342,0
8851,1
2087,1
4705,1
6656,0
8179,1
541,1
10371,1
490,1
7453,1
10450,1
3743,1
580,1
3664,0
10040,1
8326,1
1643,1
10963,1
7990,0
5127,1
10966,0
6254,1
5951,1
9915,1
6573,1
8662,1
5690,0
7899,1
6447,1
9250,0
9923,1
659,1
10585,0
5403,1
10483,0
5486,1
7369,1
10383,0
4619,0
5835,1
3771,0
8436,0
2374,1
243,1
5782,0
2742,1
2609,1
5499,1
5748,0
414,1
173,1
5103,0
6100,1
7333,1
952,1
9617,0
6957,1
2018,1
9656,1
816,1
7426,0
421,1
5896,0
8335,0
3614,1
4765,1
10404,1
8187,1
1999,1
949,1
5723,1
1940,1
7288,1
6170,0
3332,1
7376,0
3686,1
10682,0
6184,0
6046,0
